<-0.1,>0.1,<-0.2,>0.2,<-0.3,>0.3,<-0.4,>0.4,<-0.5,>0.5,<-0.6,>0.6,<-0.7,>0.7,<-0.8,>0.8
Minimizer Pearson,,,,,,,,,,,,,,,
0,10,0,5,0,2,0,0,0,0,0,0,0,0,0,0
0,0.00064,0,0.00032,0,0.000128,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Minimizer Spearman,,,,,,,,,,,,,,,
0,125,0,125,0,124,0,104,0,64,0,64,0,63,0,49
0,0.008,0,0.008,0,0.007936,0,0.006656,0,0.004096,0,0.004096,0,0.004032,0,0.003136
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
kmer Pearson,,,,,,,,,,,,,,,
0,98,0,60,0,12,0,0,0,0,0,0,0,0,0,0
0,0.006272,0,0.00384,0,0.000768,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
kmer spearman,,,,,,,,,,,,,,,
0,125,0,125,0,124,0,104,0,64,0,64,0,63,0,49
0,0.008,0,0.008,0,0.007936,0,0.006656,0,0.004096,0,0.004096,0,0.004032,0,0.003136
