,[1385020       0  982714 ...       0       0       0],6
0,[910689      0 676129 ...      0      0      0],6
1,[565669      0 415911 ...      0      0      0],0
2,[667098      0 486917 ...      0      0      0],0
3,[426228      0 300923 ...      0      0      0],0
4,[1295103       0  521864 ...       0       0       0],0
5,[453242      0 214262 ...      0      0      0],0
6,[697146      0 506448 ...      0      0      0],0
7,[1214343       0  860723 ...       0       0       0],6
8,[752497      0 531057 ...      0      0      0],0
9,[765082      0 573971 ...      0      0      0],0
10,[656418      0 466858 ...      0      0      0],0
11,[432254      0 306502 ...      0      0      0],0
12,[632835      0 450092 ...      0      0      0],0
13,[2933407       0 2002671 ...       0       0       0],3
14,[597983      0 420849 ...      0      0      0],0
15,[796585      0 571058 ...      0      0      0],0
16,[1086303       0  762165 ...       0       0       0],6
17,[1089752       0  757998 ...       0       0       0],6
18,[643908      0 449397 ...      0      0      0],0
19,[146388      0 103837 ...      0      0      0],0
20,[716052      0 502660 ...      0      0      0],0
21,[736621      0 532822 ...      0      0      0],0
22,[657895      0 472177 ...      0      0      0],0
23,[1240391       0  855839 ...       0       0       0],6
24,[418166      0 328888 ...      0      0      0],0
25,[1388709       0  976702 ...       0       0       0],6
26,[587462      0 420362 ...      0      0      0],0
27,[1027865       0  724834 ...       0       0       0],6
28,[1298593       0  899984 ...       0       0       0],6
29,[402056      0 285885 ...      0      0      0],0
30,[891442      0 634144 ...      0      0      0],0
31,[1328294       0  950289 ...       0       0       0],6
32,[701101      0 498983 ...      0      0      0],0
33,[780764      0 553170 ...      0      0      0],0
34,[936575      0 658312 ...      0      0      0],0
35,[856187      0 607133 ...      0      0      0],0
36,[1209183       0  875726 ...       0       0       0],6
37,[984270      0 721053 ...      0      0      0],6
38,[1115706       0  826852 ...       0       0       0],6
39,[711703      0 507044 ...      0      0      0],0
40,[858055      0 612057 ...      0      0      0],0
41,[1338607       0  959221 ...       0       0       0],6
42,[822704      0 565573 ...      0      0      0],0
43,[174532      0 127313 ...      0      0      0],0
44,[255862      0 174333 ...      0      0      0],0
45,[877352      0 630856 ...      0      0      0],0
46,[486501      0 351004 ...      0      0      0],0
47,[864700      0 628528 ...      0      0      0],0
48,[707959      0 505974 ...      0      0      0],0
49,[571411      0 406831 ...      0      0      0],0
50,[465372      0 298590 ...      0      0      0],0
51,[1440369       0 1026749 ...       0       0       0],6
52,[774435      0 545171 ...      0      0      0],0
53,[955581      0 651579 ...      0      0      0],6
54,[706220      0 510517 ...      0      0      0],0
55,[1147430       0  851658 ...       0       0       0],6
56,[1029082       0  729846 ...       0       0       0],6
57,[1223305       0  872908 ...       0       0       0],6
58,[619771      0 454486 ...      0      0      0],0
59,[1487121       0 1045446 ...       0       0       0],6
60,[693713      0 497074 ...      0      0      0],0
61,[794424      0 332157 ...      0      0      0],0
62,[1336028       0  949382 ...       0       0       0],6
63,[517336      0 368915 ...      0      0      0],0
64,[596950      0 437864 ...      0      0      0],0
65,[331588      0 243632 ...      0      0      0],0
66,[605056      0 442338 ...      0      0      0],0
67,[175501      0 126300 ...      0      0      0],0
68,[147808      0 105630 ...      0      0      0],0
69,[463357      0 334825 ...      0      0      0],0
70,[521870      0 386481 ...      0      0      0],0
71,[532282      0 380217 ...      0      0      0],0
72,[403490      0 289510 ...      0      0      0],0
73,[817526      0 556961 ...      0      0      0],0
74,[1036263       0  761958 ...       0       0       0],6
75,[534277      0 397537 ...      0      0      0],0
76,[728634      0 512292 ...      0      0      0],0
77,[1248864       0  878331 ...       0       0       0],6
78,[368998      0 262452 ...      0      0      0],0
79,[2554624       0 1776014 ...       0       0       0],3
80,[4837775       0 3298497 ...       0       0       0],5
81,[535744      0 379160 ...      0      0      0],0
82,[1095635       0  759514 ...       0       0       0],6
83,[595726      0 400478 ...      0      0      0],0
84,[479915      0 341338 ...      0      0      0],0
85,[609448      0 442096 ...      0      0      0],0
86,[1053733       0  746249 ...       0       0       0],6
87,[1583340       0 1129331 ...       0       0       0],6
88,[892222      0 631427 ...      0      0      0],0
89,[744827      0 529100 ...      0      0      0],0
90,[1060937       0  731659 ...       0       0       0],6
91,[791042      0 533010 ...      0      0      0],0
92,[914453      0 637218 ...      0      0      0],0
93,[453476      0 330094 ...      0      0      0],0
94,[755247      0 558964 ...      0      0      0],0
95,[1643720       0 1170356 ...       0       0       0],6
96,[1208721       0  847015 ...       0       0       0],6
97,[384104      0 273726 ...      0      0      0],0
98,[611493      0 445466 ...      0      0      0],0
99,[1005571       0  715665 ...       0       0       0],6
100,[937256      0 452973 ...      0      0      0],0
101,[3066823       0 2167572 ...       0       0       0],3
102,[791896      0 554439 ...      0      0      0],0
103,[1114950       0  780815 ...       0       0       0],6
104,[1005555       0  714838 ...       0       0       0],6
105,[1303616       0  917682 ...       0       0       0],6
106,[839471      0 597119 ...      0      0      0],0
107,[921389      0 642974 ...      0      0      0],0
108,[581563      0 416406 ...      0      0      0],0
109,[1186013       0  574815 ...       0       0       0],0
110,[1154503       0  802888 ...       0       0       0],6
111,[998944      0 457184 ...      0      0      0],0
112,[1392180       0  988876 ...       0       0       0],6
113,[1789951       0 1280717 ...       0       0       0],6
114,[509303      0 354146 ...      0      0      0],0
115,[635922      0 466110 ...      0      0      0],0
116,[676054      0 485652 ...      0      0      0],0
117,[1881122       0 1352029 ...       0       0       0],6
118,[646495      0 465133 ...      0      0      0],0
119,[1259414       0  880841 ...       0       0       0],6
120,[1145049       0  797084 ...       0       0       0],6
121,[302285      0 219007 ...      0      0      0],0
